datetime,pulse,category,ts_number
2021-01-01,80.0,non_athlete,2_1
2021-01-02,80.0,non_athlete,2_1
2021-01-03,80.0,non_athlete,2_1
2021-01-04,80.0,non_athlete,2_1
2021-01-05,80.0,non_athlete,2_1
2021-01-06,80.0,non_athlete,2_1
2021-01-07,80.0,non_athlete,2_1
2021-01-08,80.0,non_athlete,2_1
2021-01-09,80.0,non_athlete,2_1
2021-01-10,80.0,non_athlete,2_1
2021-01-11,80.0,non_athlete,2_1
2021-01-12,80.0,non_athlete,2_1
2021-01-13,80.0,non_athlete,2_1
2021-01-14,80.0,non_athlete,2_1
2021-01-15,80.0,non_athlete,2_1
2021-01-16,80.0,non_athlete,2_1
2021-01-17,80.0,non_athlete,2_1
2021-01-18,80.0,non_athlete,2_1
2021-01-19,79.0,non_athlete,2_1
2021-01-20,80.0,non_athlete,2_1
2021-01-21,80.0,non_athlete,2_1
2021-01-22,80.0,non_athlete,2_1
2021-01-23,80.0,non_athlete,2_1
2021-01-24,80.0,non_athlete,2_1
2021-01-25,80.0,non_athlete,2_1
2021-01-26,80.0,non_athlete,2_1
2021-01-27,80.0,non_athlete,2_1
2021-01-28,80.0,non_athlete,2_1
2021-01-29,80.0,non_athlete,2_1
2021-01-30,80.0,non_athlete,2_1
2021-01-31,80.0,non_athlete,2_1
2021-02-01,80.0,non_athlete,2_1
2021-02-02,80.0,non_athlete,2_1
2021-02-03,80.0,non_athlete,2_1
2021-02-04,80.0,non_athlete,2_1
2021-02-05,80.0,non_athlete,2_1
2021-02-06,80.0,non_athlete,2_1
2021-02-07,80.0,non_athlete,2_1
2021-02-08,80.0,non_athlete,2_1
2021-02-09,80.0,non_athlete,2_1
2021-02-10,80.0,non_athlete,2_1
2021-02-11,80.0,non_athlete,2_1
2021-02-12,80.0,non_athlete,2_1
2021-02-13,80.0,non_athlete,2_1
2021-02-14,80.0,non_athlete,2_1
2021-02-15,80.0,non_athlete,2_1
2021-02-16,80.0,non_athlete,2_1
2021-02-17,80.0,non_athlete,2_1
2021-02-18,80.0,non_athlete,2_1
2021-02-19,80.0,non_athlete,2_1
2021-02-20,80.0,non_athlete,2_1
2021-02-21,80.0,non_athlete,2_1
2021-02-22,79.0,non_athlete,2_1
